id_applic,consent,priorit,physics_it_socre,math_score,russian_score,achivments_score,total_score
1,true,3,88,86,57,0,231
2,true,3,94,94,90,0,278
3,true,3,95,82,66,5,248
4,true,3,94,70,75,0,239
5,true,3,97,88,63,0,248
6,true,3,80,90,55,3,228
7,true,3,73,75,80,0,228
8,true,3,93,83,86,3,265
9,true,3,88,71,73,5,237
10,true,3,71,65,77,0,213
11,true,3,73,91,87,5,256
12,true,3,95,88,84,0,267
13,true,3,77,88,65,0,230
14,true,3,88,94,63,5,250
15,true,3,74,87,78,0,239
16,true,3,90,98,86,7,281
17,true,3,88,65,94,0,247
18,true,3,83,77,73,0,233
19,true,3,93,75,78,7,253
20,true,3,95,87,72,0,254
21,true,3,75,85,84,0,244
22,true,3,91,88,76,0,255
23,true,3,93,66,93,3,255
24,true,3,94,89,84,3,270
25,true,3,72,90,79,3,244
26,true,3,89,97,75,0,261
27,true,3,88,73,58,3,222
28,true,3,73,79,73,0,225
29,true,3,73,79,56,5,213
30,true,3,77,72,59,0,208
31,true,3,87,80,93,3,263
32,true,3,83,91,82,3,259
33,true,3,73,82,87,7,249
34,true,3,75,70,66,7,218
35,true,3,76,65,71,3,215
36,true,3,99,90,57,0,246
37,true,3,83,82,70,5,240
38,true,3,93,81,71,5,250
39,true,3,78,89,94,0,261
40,true,3,83,69,55,0,207
41,true,3,76,67,78,3,224
42,true,3,94,75,81,7,257
43,true,3,90,86,61,10,247
44,true,3,70,67,71,3,211
45,true,3,94,92,71,5,262
46,true,3,87,90,69,3,249
47,true,3,79,74,88,0,241
48,true,3,93,84,71,3,251
49,true,3,71,96,91,3,261
50,true,3,85,86,95,10,276
51,true,3,80,97,58,7,242
52,true,3,77,72,82,0,231
53,true,3,99,75,83,0,257
54,true,3,96,91,91,10,288
55,false,3,76,71,76,3,226
56,false,3,99,65,75,0,239
57,false,3,94,95,73,3,265
58,false,3,89,72,83,5,249
59,false,3,91,68,67,3,229
60,false,3,77,80,92,0,249
61,false,3,94,97,61,0,252
62,false,3,72,71,63,0,206
63,false,3,88,83,73,0,244
64,false,3,76,99,59,0,234
65,false,3,73,66,82,7,228
66,false,3,76,99,76,0,251
67,false,3,70,91,86,0,247
68,false,3,70,89,85,0,244
69,false,3,85,72,63,5,225
70,false,3,82,80,65,3,230
71,false,3,94,96,89,7,286
72,false,3,86,87,63,3,239
73,false,3,95,100,82,0,277
74,false,3,74,87,78,3,242
75,false,3,87,89,86,0,262
76,false,3,98,65,75,5,243
77,false,3,83,72,60,3,218
78,false,3,99,70,60,0,229
79,false,3,94,85,64,0,243
80,false,3,95,91,92,0,278
81,false,3,86,93,81,0,260
82,false,3,84,65,58,3,210
83,false,3,96,72,80,10,258
84,false,3,88,80,86,7,261
85,false,3,79,82,57,7,225
86,false,3,76,95,57,3,231
87,false,3,72,65,70,7,214
88,false,3,94,87,86,3,270
89,false,3,77,69,89,0,235
90,false,3,79,95,87,3,264
91,false,3,81,76,71,0,228
92,false,3,99,83,69,0,251
93,false,3,74,77,57,5,213
94,false,3,88,73,67,5,233
95,false,3,71,87,72,0,230
96,false,3,94,79,67,3,243
97,false,3,75,81,86,3,245
98,false,3,89,73,62,0,224
99,false,3,96,85,95,5,281
100,false,3,80,88,60,3,231
101,false,3,91,89,58,0,238
102,false,3,78,92,81,0,251
103,false,3,93,78,73,5,249
104,false,3,78,100,69,3,250
105,false,3,73,94,76,3,246
106,false,3,70,98,57,0,225
107,false,3,90,74,82,3,249
108,false,3,83,90,58,10,241
109,false,3,84,68,59,5,216
110,false,3,93,74,60,0,227
111,false,3,87,76,86,10,259
112,false,3,87,79,66,0,232
113,false,3,77,89,90,7,263
114,false,3,97,69,82,3,251
115,false,3,72,89,77,0,238
116,false,3,99,97,64,5,265
117,false,3,94,74,94,0,262
118,false,3,77,97,90,5,269
119,false,3,80,89,58,0,227
120,false,3,87,84,89,0,260
121,false,3,91,89,84,3,267
122,false,3,81,97,87,0,265
123,false,3,89,83,57,0,229
124,false,3,86,94,59,3,242
125,false,3,84,70,95,3,252
126,false,3,83,96,80,0,259
127,false,3,93,87,88,0,268
128,false,3,99,92,61,3,255
129,false,3,83,70,68,0,221
130,false,3,83,65,59,0,207
131,false,3,82,71,70,0,223
132,false,3,87,86,92,5,270
133,false,3,95,82,66,0,243
134,false,3,86,97,93,0,276
135,false,3,78,81,61,0,220
136,false,3,82,81,66,7,236
137,false,3,76,79,80,7,242
138,false,3,77,71,77,0,225
139,false,3,70,81,69,3,223
140,false,3,71,79,60,5,215
141,false,3,84,67,73,0,224
142,false,3,89,95,82,0,266
143,false,3,88,79,77,0,244
144,false,3,83,97,72,5,257
145,false,3,86,95,64,0,245
146,false,3,73,74,83,3,233
147,false,3,95,96,65,0,256
148,false,3,87,99,86,5,277
149,false,3,71,79,68,0,218
150,false,3,72,93,80,0,245
151,false,3,92,73,55,7,227
152,false,3,83,93,94,0,270
153,false,3,72,66,57,5,200
154,false,3,94,100,77,5,276
155,false,3,75,69,83,3,230
156,false,3,87,100,93,0,280
157,false,3,88,72,60,3,223
158,false,3,79,80,78,0,237
159,false,3,95,85,80,0,260
160,false,3,90,89,56,0,235
161,false,3,98,78,63,3,242
162,false,3,80,100,94,7,281
163,false,3,85,69,76,3,233
164,false,3,94,85,55,5,239
165,false,3,74,91,65,3,233
166,false,3,70,75,76,0,221
167,false,3,72,85,67,0,224
168,false,3,92,82,88,0,262
169,false,3,86,81,60,0,227
170,false,3,94,92,65,0,251
171,false,3,80,76,74,10,240
172,false,3,84,94,66,0,244
173,false,3,100,80,94,0,274
174,false,3,71,71,87,3,232
175,false,3,77,75,92,7,251
176,false,3,76,94,72,3,245
177,false,3,89,94,66,0,249
178,false,3,80,70,82,7,239
179,false,3,83,85,78,3,249
180,false,3,84,80,67,0,231
181,false,3,84,73,83,3,243
182,false,3,90,96,81,0,267
183,false,3,74,96,70,0,240
184,false,3,81,95,57,0,233
185,false,3,89,70,61,0,220
186,false,3,96,88,87,7,278
187,false,3,92,78,80,3,253
188,false,3,94,69,84,0,247
189,false,3,90,87,78,5,260
190,false,3,83,94,71,3,251
191,false,3,79,80,73,0,232
192,false,3,76,75,90,0,241
193,false,3,70,69,67,0,206
194,false,3,95,76,63,0,234
195,false,3,90,83,55,0,228
196,false,3,79,78,74,0,231
197,false,3,85,76,65,10,236
198,false,3,72,73,87,0,232
199,false,3,76,82,70,0,228
200,false,3,97,66,71,7,241
201,false,3,77,81,73,10,241
202,false,3,90,89,64,3,246
203,false,3,89,88,91,0,268
204,false,3,93,100,65,5,263
205,false,3,81,89,78,3,251
206,false,3,100,81,61,0,242
207,false,3,72,97,83,0,252
208,false,3,90,86,93,0,269
209,false,3,75,71,87,3,236
210,false,3,91,82,79,0,252
211,false,3,91,90,79,3,263
212,false,3,75,91,55,3,224
213,false,3,95,74,72,5,246
214,false,3,88,80,58,0,226
215,false,3,93,74,84,0,251
216,false,3,95,86,85,3,269
217,false,3,94,84,59,3,240
218,false,3,80,75,82,3,240
219,false,3,84,85,69,7,245
220,false,3,89,87,72,0,248
221,false,3,78,94,74,3,249
222,false,3,74,65,66,0,205
223,false,3,93,69,89,0,251
224,false,3,86,93,79,0,258
225,false,3,70,85,77,5,237
226,false,3,89,72,74,0,235
227,false,3,88,92,93,0,273
228,false,3,94,82,90,7,273
229,false,3,99,97,82,5,283
230,false,3,97,98,55,5,255
231,false,3,74,96,87,0,257
232,false,3,74,80,74,5,233
233,false,3,79,93,87,0,259
234,false,3,81,97,59,0,237
235,false,3,79,76,95,3,253
236,false,3,88,96,63,3,250
237,false,3,78,73,57,0,208
238,false,3,74,68,73,5,220
239,false,3,89,96,78,3,266
240,false,3,88,95,66,7,256
241,false,3,86,98,78,5,267
242,false,3,81,91,56,0,228
243,false,3,81,85,85,3,254
244,false,3,92,95,78,0,265
245,false,3,91,75,91,10,267
246,false,3,78,71,94,0,243
247,false,3,93,81,81,0,255
