id_applic,consent,priorit,physics_it_socre,math_score,russian_score,achivments_score,total_score
1,false,2,99,99,74,10,282
2,false,2,95,98,55,0,248
3,false,2,67,73,71,7,218
4,false,2,78,74,72,3,227
5,true,2,76,78,95,3,252
6,true,2,100,68,60,0,228
7,true,2,68,65,76,3,212
8,true,2,87,93,90,3,273
9,false,2,62,74,89,5,230
10,false,2,68,74,82,0,224
11,false,2,73,67,77,3,220
12,false,2,86,87,90,10,273
13,true,2,71,80,65,7,223
14,false,2,75,86,81,0,242
15,true,2,62,71,79,7,219
16,false,2,79,94,77,5,255
17,true,2,72,79,56,0,207
18,false,2,82,69,72,3,226
24,false,2,61,99,76,0,236
25,false,2,76,76,92,0,244
26,false,2,87,87,75,3,252
27,false,2,72,89,91,0,252
28,false,2,94,65,88,3,250
29,false,2,87,77,78,0,242
30,true,2,80,86,94,3,263
31,false,2,79,84,87,3,253
32,false,2,68,83,90,0,241
33,false,2,99,89,66,3,257
34,false,2,78,65,74,0,217
35,true,2,88,85,84,0,257
36,false,2,65,95,65,0,225
37,true,2,75,86,60,3,224
38,false,2,61,77,64,0,202
62,false,2,86,69,84,7,246
63,false,2,85,89,86,0,260
64,false,2,87,65,61,0,213
65,false,2,63,98,84,3,248
66,false,2,68,72,84,5,229
67,false,2,80,100,93,10,283
68,true,2,95,97,82,0,274
69,false,2,76,95,83,5,259
70,true,2,91,82,88,3,264
71,false,2,75,69,73,0,217
72,false,2,68,99,60,0,227
73,false,2,64,74,68,0,206
74,false,2,63,94,81,0,238
75,false,2,84,66,91,0,241
76,false,2,86,84,79,3,252
77,false,2,74,79,86,0,239
78,false,2,85,89,76,5,255
79,false,2,94,73,94,0,261
80,false,2,87,66,60,0,213
81,false,2,84,68,71,0,223
82,false,2,77,86,79,5,247
83,false,2,90,81,60,0,231
84,false,2,64,87,69,5,225
85,false,2,72,66,70,5,213
86,false,2,90,80,63,3,236
87,true,2,76,78,84,5,243
88,true,2,79,72,65,0,216
103,false,2,84,84,91,0,259
104,false,2,100,69,92,0,261
105,false,2,67,84,93,5,249
106,false,2,94,67,77,0,238
107,false,2,60,97,76,5,238
108,false,2,83,71,82,3,239
109,false,2,71,74,82,5,232
110,false,2,94,82,94,5,275
111,true,2,75,82,75,5,237
112,false,2,89,93,70,3,255
113,true,2,91,86,56,7,240
114,false,2,76,78,77,0,231
115,true,2,60,82,90,3,235
116,true,2,91,80,81,3,255
117,true,2,88,95,86,5,274
118,false,2,75,79,80,0,234
119,false,2,93,95,90,0,278
120,true,2,82,100,76,5,263
121,false,2,67,81,69,5,222
122,false,2,72,99,66,0,237
123,false,2,78,98,93,10,279
124,true,2,83,83,69,0,235
125,true,2,77,99,63,0,239
126,false,2,100,83,63,7,253
127,false,2,78,65,91,0,234
128,false,2,76,76,58,7,217
129,false,2,91,69,80,0,240
130,false,2,69,68,64,5,206
131,false,2,67,70,70,3,210
132,false,2,84,79,88,0,251
133,false,2,96,92,74,3,265
134,false,2,100,71,68,0,239
135,true,2,71,75,70,3,219
136,true,2,98,91,83,0,272
137,true,2,89,83,73,0,245
138,false,2,97,81,95,3,276
139,true,2,94,92,62,0,248
140,false,2,64,82,64,0,210
141,false,2,67,83,83,0,233
142,false,2,92,90,72,3,257
