id_applic,consent,priorit,physics_it_socre,math_score,russian_score,achivments_score,total_score
1,true,1,77,72,56,0,205
2,true,1,65,71,89,3,228
3,true,1,74,70,68,3,215
4,false,1,86,77,89,0,252
5,true,1,87,65,65,0,217
6,false,1,65,86,61,0,212
7,false,1,76,87,93,5,261
8,true,1,84,99,62,0,245
9,true,1,72,88,91,5,256
10,false,1,65,79,73,7,224
11,false,1,89,89,72,3,253
12,false,1,73,88,77,3,241
13,false,1,100,69,93,0,262
19,false,1,84,75,84,0,243
20,false,1,80,100,69,5,254
21,true,1,80,79,57,0,216
22,false,1,91,85,68,0,244
23,false,1,76,94,64,0,234
24,false,1,97,99,71,0,267
25,true,1,68,88,69,3,228
26,false,1,69,68,62,3,202
27,false,1,64,92,93,0,249
28,false,1,76,94,88,10,268
29,false,1,94,65,62,5,226
30,false,1,78,86,62,0,226
31,true,1,71,81,87,3,242
32,true,1,92,84,95,3,274
33,false,1,93,75,89,7,264
34,false,1,67,96,56,7,226
35,false,1,63,84,70,0,217
36,false,1,91,70,60,5,226
37,false,1,68,99,63,3,233
38,false,1,93,75,71,7,246
39,false,1,72,78,89,5,244
40,true,1,93,88,83,0,264
41,true,1,61,69,76,3,209
42,true,1,64,79,55,5,203
43,true,1,81,69,57,0,207
44,false,1,94,96,68,0,258
45,true,1,90,95,70,5,260
46,false,1,82,71,82,0,235
47,false,1,63,68,61,0,192
48,false,1,72,71,70,0,213
49,false,1,77,92,66,0,235
50,false,1,95,69,83,0,247
51,false,1,65,99,55,7,226
52,false,1,91,75,81,0,247
53,false,1,84,68,65,0,217
54,false,1,87,94,73,3,257
55,true,1,69,100,86,0,255
56,false,1,94,68,92,0,254
57,false,1,90,68,92,3,253
58,true,1,92,75,58,0,225
59,false,1,85,69,70,0,224
60,true,1,98,80,92,0,270
61,false,1,76,98,75,0,249
99,false,1,85,80,71,0,236
100,false,1,64,94,75,0,233
101,true,1,94,71,59,0,224
102,true,1,75,87,59,0,221
